State,County,Income
Georgia,Webster,"33,109"
Georgia,Wheeler,"19,631"
Georgia,White,"34,961"
Georgia,Whitfield,"38,752"
Georgia,Wilcox,"26,712"
Georgia,Wilkes,"39,472"
Georgia,Wilkinson,"35,204"
Georgia,Worth,"34,380"
Hawaii,Hawaii,"42,449"
Hawaii,Honolulu,"59,608"
Hawaii,Kauai,"49,416"
Hawaii,Maui + Kalawao,"49,040"
Idaho,Ada,"52,958"
Idaho,Adams,"37,452"
Idaho,Bannock,"38,160"
Idaho,Bear Lake,"38,493"
Idaho,Benewah,"37,383"
Idaho,Bingham,"36,335"
Idaho,Blaine,"113,780"
Idaho,Boise,"43,392"
Idaho,Bonner,"41,209"
Idaho,Bonneville,"48,287"
Idaho,Boundary,"36,934"
Idaho,Butte,"38,961"
Idaho,Camas,"38,600"
Idaho,Canyon,"32,680"
Idaho,Caribou,"39,146"
Idaho,Cassia,"45,220"
Idaho,Clark,"39,408"
Idaho,Clearwater,"34,506"
Idaho,Custer,"43,185"
Idaho,Elmore,"36,855"
Idaho,Franklin,"36,064"
Idaho,Fremont (includes Yellowstone National Park),"36,908"
Idaho,Gem,"37,796"
Idaho,Gooding,"52,875"
Idaho,Idaho,"35,122"
Idaho,Jefferson,"34,900"
Idaho,Jerome,"38,184"
Idaho,Kootenai,"44,987"
Idaho,Latah,"41,341"
Idaho,Lemhi,"41,565"
Idaho,Lewis,"47,267"
Idaho,Lincoln,"34,821"
Idaho,Madison,"26,407"
Idaho,Minidoka,"38,159"
Idaho,Nez Perce,"44,397"
Idaho,Oneida,"35,234"
Idaho,Owyhee,"33,372"
Idaho,Payette,"38,933"
Idaho,Power,"36,667"
Idaho,Shoshone,"35,537"
Idaho,Teton,"39,858"
Idaho,Twin Falls,"39,623"
Idaho,Valley,"49,630"
Idaho,Washington,"36,225"
Illinois,Adams,"46,886"
Illinois,Alexander,"34,713"
Illinois,Bond,"37,653"
Illinois,Boone,"47,437"
Illinois,Brown,"35,166"
Illinois,Bureau,"43,931"
Illinois,Calhoun,"42,511"
Illinois,Carroll,"42,399"
Illinois,Cass,"42,649"
Illinois,Champaign,"45,328"
Illinois,Christian,"41,724"
Illinois,Clark,"43,012"
Illinois,Clay,"40,351"
Illinois,Clinton,"48,253"
Illinois,Coles,"40,995"
Illinois,Cook,"62,205"
Illinois,Crawford,"48,332"
Illinois,Cumberland,"43,778"
Illinois,DeKalb,"40,929"
Illinois,De Witt,"47,205"
Illinois,Douglas,"51,537"
Illinois,DuPage,"72,889"
Illinois,Edgar,"42,184"
Illinois,Edwards,"40,331"
Illinois,Effingham,"50,599"
Illinois,Fayette,"35,456"
Illinois,Ford,"52,879"
Illinois,Franklin,"37,355"
Illinois,Fulton,"38,361"
Illinois,Gallatin,"44,602"
Illinois,Greene,"36,912"
Illinois,Grundy,"51,657"
Illinois,Hamilton,"43,349"
Illinois,Hancock,"46,081"
Illinois,Hardin,"37,155"
Illinois,Henderson,"41,951"
Illinois,Henry,"45,072"
Illinois,Iroquois,"43,258"
Illinois,Jackson,"37,284"
Illinois,Jasper,"45,961"
Illinois,Jefferson,"39,581"
Illinois,Jersey,"41,522"
Illinois,Jo Daviess,"49,061"
Illinois,Johnson,"35,956"
Illinois,Kane,"51,333"
Illinois,Kankakee,"41,290"
Illinois,Kendall,"49,033"
Illinois,Knox,"39,471"
Illinois,Lake,"78,559"
Illinois,LaSalle,"44,632"
Illinois,Lawrence,"29,911"
Illinois,Lee,"41,788"
Illinois,Livingston,"44,775"
Illinois,Logan,"38,339"
Illinois,McDonough,"38,692"
Illinois,McHenry,"55,720"
Illinois,McLean,"49,180"
Illinois,Macon,"48,214"
Illinois,Macoupin,"41,607"
Illinois,Madison,"46,890"
Illinois,Marion,"43,059"
Illinois,Marshall,"46,015"
Illinois,Mason,"42,510"
Illinois,Massac,"38,360"
Illinois,Menard,"47,233"
Illinois,Mercer,"45,046"
Illinois,Monroe,"58,686"
Illinois,Montgomery,"37,717"
Illinois,Morgan,"41,359"
Illinois,Moultrie,"62,718"
Illinois,Ogle,"46,755"
Illinois,Peoria,"51,135"
Illinois,Perry,"38,369"
Illinois,Piatt,"54,258"
Illinois,Pike,"42,768"
Illinois,Pope,"30,306"
Illinois,Pulaski,"36,146"
Illinois,Putnam,"58,869"
Illinois,Randolph,"36,905"
Illinois,Richland,"42,555"
Illinois,Rock Island,"44,802"
Illinois,St. Clair,"45,061"
Illinois,Saline,"39,687"
Illinois,Sangamon,"48,891"
Illinois,Schuyler,"44,200"
Illinois,Scott,"42,720"
Illinois,Shelby,"41,512"
Illinois,Stark,"42,877"
Illinois,Stephenson,"42,722"
Illinois,Tazewell,"47,862"
Illinois,Union,"42,760"
Illinois,Vermilion,"39,481"
Illinois,Wabash,"43,571"
Illinois,Warren,"41,274"
Illinois,Washington,"51,144"
Illinois,Wayne,"41,164"
Illinois,White,"49,605"
Illinois,Whiteside,"44,016"
Illinois,Will,"52,953"
Illinois,Williamson,"44,509"
Illinois,Winnebago,"43,742"
Illinois,Woodford,"52,928"
Indiana,Adams,"39,167"
Indiana,Allen,"46,288"
Indiana,Bartholomew,"49,922"
Indiana,Benton,"42,775"
Indiana,Blackford,"37,677"
Indiana,Boone,"73,531"
Indiana,Brown,"46,785"
Indiana,Carroll,"44,201"
Indiana,Cass,"38,788"
Indiana,Clark,"43,763"
Indiana,Clay,"38,615"
Indiana,Clinton,"39,172"
Indiana,Crawford,"33,483"
Indiana,Daviess,"42,064"
Indiana,Dearborn,"47,454"
Indiana,Decatur,"42,733"
Indiana,DeKalb,"44,069"
Indiana,Delaware,"37,201"
Indiana,Dubois,"56,488"
Indiana,Elkhart,"46,816"
Indiana,Fayette,"40,939"
Indiana,Floyd,"55,480"
Indiana,Fountain,"41,010"
Indiana,Franklin,"46,629"
Indiana,Fulton,"41,437"
Indiana,Gibson,"45,385"
Indiana,Grant,"40,444"
Indiana,Greene,"39,840"
Indiana,Hamilton,"74,717"
Indiana,Hancock,"50,422"
Indiana,Harrison,"41,862"
Indiana,Hendricks,"49,641"
Indiana,Henry,"38,336"
Indiana,Howard,"41,842"
Indiana,Huntington,"42,292"
Indiana,Jackson,"42,722"
Indiana,Jasper,"43,293"
Indiana,Jay,"39,321"
Indiana,Jefferson,"41,981"
Indiana,Jennings,"38,959"
Indiana,Johnson,"48,332"
Indiana,Knox,"44,626"
Indiana,Kosciusko,"47,799"
Indiana,Lagrange,"42,146"
Indiana,Lake,"45,172"
Indiana,LaPorte,"42,527"
Indiana,Lawrence,"40,614"
Indiana,Madison,"38,172"
Indiana,Marion,"51,940"
Indiana,Marshall,"41,329"
Indiana,Martin,"39,941"
Indiana,Miami,"35,039"
Indiana,Monroe,"42,212"
Indiana,Montgomery,"40,056"
Indiana,Morgan,"44,183"
Indiana,Newton,"39,818"
Indiana,Noble,"39,798"
Indiana,Ohio,"40,714"
Indiana,Orange,"38,124"
Indiana,Owen,"40,081"
Indiana,Parke,"36,345"
Indiana,Perry,"37,851"
Indiana,Pike,"40,714"
Indiana,Porter,"53,130"
Indiana,Posey,"48,180"
Indiana,Pulaski,"43,522"
Indiana,Putnam,"37,479"
Indiana,Randolph,"38,491"
Indiana,Ripley,"41,817"
Indiana,Rush,"46,945"
Indiana,St. Joseph,"47,673"
Indiana,Scott,"37,475"
Indiana,Shelby,"43,854"
Indiana,Spencer,"43,971"
Indiana,Starke,"35,347"
Indiana,Steuben,"43,231"
Indiana,Sullivan,"35,181"
Indiana,Switzerland,"30,827"
Indiana,Tippecanoe,"39,169"
Indiana,Tipton,"46,610"
Indiana,Union,"38,998"
Indiana,Vanderburgh,"45,893"
Indiana,Vermillion,"39,411"
Indiana,Vigo,"38,970"
Indiana,Wabash,"43,820"
Indiana,Warren,"45,419"
Indiana,Warrick,"56,476"
Indiana,Washington,"38,123"
Indiana,Wayne,"41,505"
Indiana,Wells,"42,730"
Indiana,White,"43,852"
Indiana,Whitley,"44,528"
Iowa,Adair,"51,989"
Iowa,Adams,"66,319"
Iowa,Allamakee,"45,745"
Iowa,Appanoose,"38,478"
Iowa,Audubon,"48,279"
Iowa,Benton,"53,994"
Iowa,Black Hawk,"44,764"
Iowa,Boone,"49,606"
Iowa,Bremer,"49,405"
Iowa,Buchanan,"46,491"
Iowa,Buena Vista,"50,000"
Iowa,Butler,"49,863"
Iowa,Calhoun,"51,217"
Iowa,Carroll,"54,456"
Iowa,Cass,"48,327"
Iowa,Cedar,"53,356"
Iowa,Cerro Gordo,"53,342"
Iowa,Cherokee,"62,827"
Iowa,Chickasaw,"58,354"
Iowa,Clarke,"43,888"
Iowa,Clay,"51,876"
Iowa,Clayton,"50,371"
Iowa,Clinton,"44,244"
Iowa,Crawford,"41,765"
Iowa,Dallas,"66,128"
Iowa,Davis,"36,921"
Iowa,Decatur,"35,908"
Iowa,Delaware,"51,998"
Iowa,Des Moines,"50,515"
Iowa,Dickinson,"58,592"
Iowa,Dubuque,"49,085"
Iowa,Emmet,"43,501"
Iowa,Fayette,"44,263"
Iowa,Floyd,"46,560"
Iowa,Franklin,"51,971"
Iowa,Fremont,"45,399"
Iowa,Greene,"48,356"
Iowa,Grundy,"53,270"
Iowa,Guthrie,"52,694"
Iowa,Hamilton,"53,071"
Iowa,Hancock,"54,791"
Iowa,Hardin,"52,677"
Iowa,Harrison,"44,895"
Iowa,Henry,"43,223"
Iowa,Howard,"48,232"
Iowa,Humboldt,"50,201"
Iowa,Ida,"52,758"
Iowa,Iowa,"55,204"
Iowa,Jackson,"45,167"
Iowa,Jasper,"43,551"
Iowa,Jefferson,"42,320"
Iowa,Johnson,"52,672"
Iowa,Jones,"43,652"
Iowa,Keokuk,"44,509"
Iowa,Kossuth,"52,992"
Iowa,Lee,"42,174"
Iowa,Linn,"52,743"
Iowa,Louisa,"41,038"
Iowa,Lucas,"42,126"
Iowa,Lyon,"60,892"
Iowa,Madison,"49,505"
Iowa,Mahaska,"43,914"
Iowa,Marion,"48,956"
Iowa,Marshall,"43,652"
Iowa,Mills,"56,647"
Iowa,Mitchell,"63,318"
Iowa,Monona,"48,118"
Iowa,Monroe,"43,833"
Iowa,Montgomery,"42,280"
Iowa,Muscatine,"47,553"
Iowa,O'Brien,"59,835"
Iowa,Osceola,"57,164"
Iowa,Page,"41,629"
Iowa,Palo Alto,"53,056"
Iowa,Plymouth,"57,589"
Iowa,Pocahontas,"52,699"
Iowa,Polk,"53,215"
Iowa,Pottawattamie,"45,604"
Iowa,Poweshiek,"46,950"
